Feature,Daygainer,Normal,Failed,DG_vs_N_%
rvol_20d,1.9922711414197818,1.6371686697977306,5.132584046493974,21.69003586331295
price_vs_20ma,15.002281149026947,-1.0453570871274604,-10.73786740550098,-1535.134590252959
atr_pct,18.30336844457321,5.5819494915366,13.744375546980674,227.9027958301116
volume_trend_5d,37.386256939085094,99.24917130708039,3289.494950236454,-62.330912745446795
vol_zscore_max_15m,0.588,1.78925,,-67.13706860416376
vol_accel_15m,6.689,18.553125,,-63.94677446521813
rvol_spike_count_15m,0.0,1.625,,-100.0
price_momentum_15m,1.248,2.09825,,-40.52186345764328
premarket_volume,0.0,142.65,232112.14285714287,-100.0
premarket_change,,-1.1703333333333334,3.3286000000000002,
