feature,mean_abs_shap,rank
CCI_20_0.015,0.726775,1
atr_pct,0.43918145,2
price_vs_52w_high,0.40897626,3
rvol_20d,0.16108836,4
gap_count_30d,0.14798303,5
window_rows_15m,0.13727973,6
transactions,0.13324827,7
EMA_9,0.11947408,8
OBV,0.10182821,9
price_momentum_120m,0.099126354,10
DMN_14,0.09671875,11
volume_trend_5d,0.08845408,12
ATRr_14,0.0837193,13
rsi_5_14_div,0.08192557,14
ADX_14,0.0815226,15
AROOND_25,0.07012407,16
ADXR_14_2,0.06985072,17
MFI_14,0.06971437,18
AD,0.06736776,19
close_d1,0.06386593,20
BBB_20_2.0_2.0,0.062358607,21
vol_accel_30m,0.060460933,22
ema_9_21_div_pct,0.057826497,23
STOCHk_14_3_3,0.05731773,24
vwap,0.057261366,25
volume_d1,0.055510532,26
STOCHd_14_3_3,0.05514396,27
DMP_14,0.05394736,28
AROONOSC_25,0.051855847,29
CMF_20,0.051672854,30
KCLe_20_1.5,0.05164665,31
STOCHh_14_3_3,0.049462102,32
SMA_50,0.049391676,33
RSI_14,0.049210522,34
price_momentum_30m,0.048465915,35
price_momentum_60m,0.047118638,36
SMA_10,0.04209459,37
sma_10_50_div_pct,0.04072836,38
BBL_20_2.0_2.0,0.03793996,39
MACDh_12_26_9,0.03539287,40
BBP_20_2.0_2.0,0.03433108,41
ROC_10,0.031127935,42
MACDs_12_26_9,0.030038407,43
MACD_12_26_9,0.027626006,44
AROONU_25,0.027454896,45
price_momentum_15m,0.026971612,46
RSI_5,0.025532454,47
premarket_close_location,0.024624957,48
gap_pct,0.024149382,49
WILLR_14,0.023947401,50
premarket_range,0.023382638,51
KCUe_20_1.5,0.022933345,52
vol_zscore_max_120m,0.021328928,53
MOM_10,0.021004885,54
window_rows_120m,0.020094285,55
premarket_volume_profile,0.017427217,56
BBU_20_2.0_2.0,0.01741146,57
SMA_20,0.015490706,58
price_vs_20ma,0.01518956,59
vol_accel_60m,0.015188986,60
premarket_rvol,0.012227981,61
vol_accel_120m,0.010783635,62
window_rows_30m,0.009989808,63
vol_zscore_max_15m,0.00989973,64
window_rows_60m,0.0094148535,65
vol_zscore_max_30m,0.0092672985,66
vol_accel_15m,0.007652424,67
vol_zscore_max_60m,0.0067940187,68
rvol_spike_count_120m,0.005822618,69
EMA_21,0.0052516377,70
KCBe_20_1.5,0.0032578097,71
rvol_spike_count_15m,0.0017699603,72
rvol_spike_count_60m,0.000954678,73
rvol_spike_count_30m,0.000549257,74
BBM_20_2.0_2.0,0.0,75
macd_signal_div,0.0,76
stoch_kd_div,0.0,77
